Marker_ID	PDI	PIC	PE
CI01000020_1060086_1060164	6.561552812808831	0.46620000000000006	0.4124340000000001
CI01000020_1060349_1060463	7.3893596310755	0.49919999999999987	0.4527359999999996
CI01000020_1061951_1062155	5.58055246225798	0.4500000000000001	0.4518360000000001
CI01000020_1063760_1063760	10.0	0.16379999999999983	0.14387400000000028
CI01000117_115876_115890	8.2	0.49179999999999996	0.42703399999999986
CI01000117_116081_116283	10.0	0.16379999999999983	0.14387400000000028
CI01000117_116429_116429	10.0	0.16379999999999983	0.14387400000000028
CI01000117_116583_116849	6.0	0.3141999999999997	0.2994739999999997
CI01000117_117005_117132	10.0	0.16379999999999983	0.14387400000000028
CI01000117_117316_117513	6.0	0.3141999999999997	0.2994739999999997
CI01000117_117514_117742	10.0	0.16379999999999983	0.14387400000000028
CI01000117_117888_118081	10.0	0.16379999999999983	0.14387400000000028
CI01000117_118251_119482	8.82842712474619	0.3141999999999997	0.2994739999999997
CI01000319_5386549_5386759	5.0410352085392205	0.6101999999999999	0.590106
CI01000319_5386867_5387037	5.549038105676658	0.5478000000000001	0.48594600000000016
CI01000319_5388228_5388360	5.549038105676658	0.5478000000000001	0.48594600000000016
CI01000319_5388018_5388122	4.179795897113271	0.6101999999999999	0.590106
CI01000301_745855_746050	5.345201123571249	0.5957999999999999	0.5616179999999997
CI01000301_747295_747637	8.82842712474619	0.3141999999999997	0.2994739999999997
CI01000301_746891_747119	8.82842712474619	0.3141999999999997	0.2994739999999997
CI01000358_822761_822891	4.295827397898687	0.5957999999999999	0.5616179999999997
CI01000358_823063_823191	3.900520706238808	0.6756	0.6717480000000002
CI01000358_823273_823411	5.784116651786604	0.5811999999999999	0.5534839999999998
CI01000358_823604_823733	6.265277174437573	0.6101999999999999	0.590106
CI01000358_823812_824034	6.265277174437573	0.6101999999999999	0.590106
CI01000358_824690_824873	6.265277174437573	0.6101999999999999	0.590106
CI01000358_825019_825019	10.0	0.2687999999999997	0.21657599999999977
CI01000358_825506_825552	5.0791561975888495	0.5862	0.5141460000000002
CI01000358_825743_825793	5.414213562373095	0.46620000000000006	0.4124340000000001
CI01000145_287472_287571	5.231347298699278	0.7204	0.7169
CI01000145_287653_287750	8.781088913245535	0.4102000000000001	0.37610600000000016
CI01000145_287827_287971	8.781088913245535	0.4102000000000001	0.37610600000000016
CI01180000_2511887_2512199	3.183012701892219	0.6729999999999999	0.7057099999999998
CI01180000_2512261_2512281	6.561552812808831	0.46620000000000006	0.4124340000000001
CI01180000_2512403_2512737	6.2547236990991415	0.5349999999999999	0.5233459999999999
CI01180000_2512812_2512836	8.82842712474619	0.3141999999999997	0.2994739999999997
CI01180000_2512972_2513245	6.561552812808831	0.46620000000000006	0.4124340000000001
CI01180000_2513419_2513555	6.913885795591314	0.4102000000000001	0.37610600000000016
CI01180000_2513727_2514082	5.66415866295336	0.6419999999999999	0.6500759999999995
CI01180000_2514190_2514366	6.561552812808831	0.46620000000000006	0.4124340000000001
CI01180000_2514373_2514500	6.2547236990991415	0.5349999999999999	0.5233459999999999
CI01000198_164288_164408	5.58055246225798	0.5631999999999999	0.4951039999999998
CI01000198_164828_164892	5.58055246225798	0.5631999999999999	0.4951039999999998
