par_num	mar_num	time
100	10000	4944.44
100	10000	4900.33
100	10000	4874.46
100	10000	4940.52
100	10000	4890.23
100	10000	4981.38
100	10000	5159.68
100	10000	4939.41
100	10000	5117.51
100	10000	5016.73
100	10000	4908.1
100	10000	4923.1
100	10000	4864.3
100	10000	4908.69
100	10000	4923.61
100	10000	4886.85
100	10000	4937.69
100	10000	4920.47
100	10000	4935.77
100	10000	4931.44
100	10000	4986.75
100	10000	4891.35
100	10000	4891.12
100	10000	4939.57
100	10000	4870.33
100	10000	4920.82
100	10000	4861.12
100	10000	5088.59
100	10000	4950.96
100	10000	4882.56
100	10000	4979.98
100	10000	4983.97
100	10000	4894.46
100	10000	4932.48
100	10000	4945
100	10000	4900.83
100	10000	4919.95
100	10000	4968.82
100	10000	4891.92
100	10000	4958.85
100	10000	4878.12
100	10000	4928.86
100	10000	4952.55
100	10000	4889.05
100	10000	4883.18
100	10000	4913.06
100	10000	4940.24
100	10000	5102.3
100	10000	4930.3
100	10000	5011.68
100	10000	4973.42
100	10000	4996.88
100	10000	4877.73
100	10000	4915.22
100	10000	4979.84
100	10000	4916.58
100	10000	4994.89
100	10000	4901.47
100	10000	4893.93
100	10000	4903.71
100	10000	4944.67
100	10000	5093.87
100	10000	4922.13
100	10000	4933.44
100	10000	4906.39
100	10000	4903.21
100	10000	4906.84
100	10000	5104.54
100	10000	4940.14
100	10000	4862.78
100	10000	5027.23
100	10000	4990.2
100	10000	5066.38
100	10000	4933.69
100	10000	4897.7
100	10000	4922.68
100	10000	4889.9
100	10000	4943.34
100	10000	4896.77
100	10000	4916.61
100	10000	4926.47
100	10000	4959.44
100	10000	4875.43
100	10000	4975.29
100	10000	4848.79
100	10000	4845.1
100	10000	4897.69
100	10000	4910.04
100	10000	4961.69
100	10000	4963.16
100	10000	4883.14
100	10000	4935.91
100	10000	4881.02
100	10000	4908.2
100	10000	4905.13
100	10000	4892.73
100	10000	4903.33
100	10000	4886.64
100	10000	4906.18
100	10000	4923.1
100	1000	491.06
100	1000	491.55
100	1000	496.26
100	1000	490.46
100	1000	496.03
100	1000	490.62
100	1000	495.9
100	1000	497.94
100	1000	493.77
100	1000	487.95
100	1000	492.09
100	1000	491.61
100	1000	493.4
100	1000	495.7
100	1000	494.91
100	1000	490.57
100	1000	493.48
